Vaccine 5G_unscaled,Vaccine 5G_monthly,isPartial,scale,Vaccine 5G,plandemic_unscaled,plandemic_monthly,isPartial,scale,plandemic,anti mask_unscaled,anti mask_monthly,isPartial,scale,anti mask,Great Reset_unscaled,Great Reset_monthly,isPartial,scale,Great Reset,Bill Gates Vaccine_unscaled,Bill Gates Vaccine_monthly,isPartial,scale,Bill Gates Vaccine
0,21.0,,0.21,0.0,22,1.0,,0.01,0.22,31,44.0,,0.44,13.64,56,38.0,,0.38,21.28,35,16.0,,0.16,5.6000000000000005
63,21.0,,0.21,13.229999999999999,46,1.0,,0.01,0.46,33,44.0,,0.44,14.52,59,38.0,,0.38,22.42,58,16.0,,0.16,9.28
68,21.0,,0.21,14.28,49,1.0,,0.01,0.49,53,44.0,,0.44,23.32,66,38.0,,0.38,25.080000000000002,74,16.0,,0.16,11.84
68,30.0,False,0.3,20.4,24,0.0,False,0.0,0.0,66,43.0,False,0.43,28.38,56,42.0,False,0.42,23.52,56,22.0,False,0.22,12.32
0,30.0,,0.3,0.0,32,0.0,,0.0,0.0,34,43.0,,0.43,14.62,86,42.0,,0.42,36.12,75,22.0,,0.22,16.5
30,30.0,,0.3,9.0,33,0.0,,0.0,0.0,31,43.0,,0.43,13.33,100,42.0,,0.42,42.0,50,22.0,,0.22,11.0
91,30.0,,0.3,27.3,33,0.0,,0.0,0.0,56,43.0,,0.43,24.08,79,42.0,,0.42,33.18,55,22.0,,0.22,12.1
31,30.0,,0.3,9.299999999999999,44,0.0,,0.0,0.0,47,43.0,,0.43,20.21,83,42.0,,0.42,34.86,41,22.0,,0.22,9.02
0,30.0,,0.3,0.0,68,0.0,,0.0,0.0,39,43.0,,0.43,16.77,65,42.0,,0.42,27.3,36,22.0,,0.22,7.92
69,30.0,,0.3,20.7,50,0.0,,0.0,0.0,57,43.0,,0.43,24.509999999999998,71,42.0,,0.42,29.82,34,22.0,,0.22,7.48
69,9.0,False,0.09,6.21,49,1.0,False,0.01,0.49,64,42.0,False,0.42,26.88,87,34.0,False,0.34,29.580000000000002,45,15.0,False,0.15,6.75
29,9.0,,0.09,2.61,53,1.0,,0.01,0.53,69,42.0,,0.42,28.98,76,34.0,,0.34,25.840000000000003,40,15.0,,0.15,6.0
29,9.0,,0.09,2.61,89,1.0,,0.01,0.89,69,42.0,,0.42,28.98,90,34.0,,0.34,30.6,100,15.0,,0.15,15.0
59,9.0,,0.09,5.31,18,1.0,,0.01,0.18,91,42.0,,0.42,38.22,100,34.0,,0.34,34.0,60,15.0,,0.15,9.0
